accountIdentifier,principal,numberOfOwnedNFTs,ownedNFTs,ownedNFTsVisible,minted,numberOfMintedNFTs,mintedNFTs,mintedNFTsVisible,mintValueICP,sold,numberOfSoldNFTs,soldNFTs,soldNFTsVisible,sellValueICP,bought,numberOfBoughtNFTs,boughtNFTs,boughtNFTsVisible,buyValueICP,listings,numberOfListedNFTs,listedNFTs,listedNFTsVisible,minListingPriceICP,collectionName,collectionCanisterId
8b5965ade4481f65323d495f693148f7ae27d48ea3d620f2a244be42b6f6415d,2vnsi-3simz-yln5p-qykp3-erury-oqvmn-46kn6-fa767-puoaw-r2hhm-yae,1,287,288,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
bd2d8f36f0693c196464d384d4a9a425176b5767d1191d562efc224ea31a97a7,yk6km-ek2qu-unwfe-mipra-5h354-a24qt-fe6li-xv5z5-3vtuw-mnlmi-tae,1,118,119,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
d8c6fc10cca8b0aa65d16debddc862ff0b1a85daf270fb604b33d029d81ab795,hbfmd-2ioos-z65p6-mww3k-ldnnt-r7srm-b2ewb-sykip-b3lbf-gdrgl-bqe,1,310,311,false,0,,,0,false,0,,,0,false,0,,,0,true,1,310,311,64.1234,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
3cbe27a23b674e3318556e8c619f3e9cbf76ec156e52a3a3158eca19d1ec7fd3,whxvb-3ly7d-jg67c-ehjum-4ognu-az4g3-tm7pi-fmzqs-ilryd-f33z5-fqe,1,26,27,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
6d374eeae46a5264a62c485172ce2654259f5385e7d8e203246a48170a0e8dea,rr4py-yh7fi-hf445-zg36j-p23ly-kur2c-akkec-3petw-fliqd-migkz-aqe,1,359,360,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
0e0d77a5c50cf0f767567e28a10a4ad80f726ea961c37aedfa801a75085dacac,vl3zf-tzljf-qlui3-7gy77-wgbuj-okbta-tylyg-wuvie-igwfm-74gyh-fae,1,61,62,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
f6b6ed7dbc9fc6708b95e33c73dda52435657ea7b72cdbef50d6514e17f03262,olaq3-wua6p-5232e-bkyey-vencd-hny5o-h4xjh-d6jq4-htoll-pd5nr-tae,1,251,252,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
c3125b8208a46cc054831119386d71345f97e2f850b466a233422862b3d2dd62,7udxl-tz7q2-4hkwe-ocsbv-55eno-5xltk-6vyoa-bbxda-25krs-gahk5-pqe,1,290,291,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
d7ed67ecf402312d8751b0e4f8e4e2dd973bdd09e9967a404528bdaad862ba1e,4p77x-ixq33-wweq4-xhfbp-nvoaf-tfgh3-vn2xg-rvlz5-unfqn-ze7hv-7qe,1,174,175,false,0,,,0,false,0,,,0,true,1,174,175,33,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
9789252b46b1f073e6eb24c9543984a83d84506ac8c1785e14ee7581fc6d5928,l4naz-lg6mw-3ekel-66vqy-rvsjm-ty2ta-6j457-mtp27-pvy7z-suw4s-oqe,1,22,23,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
e57d303ec25d50641c79393d5f1cb399047b37ddf84020be045167820e7c62a6,ufuje-uxym4-whu3g-acmds-lclcn-znvzn-iiiqs-ws4te-knslz-jhwqu-bae,1,188,189,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
68134373bed8f81703485987e20a5f87fa5f9e5a1eb1436f905a1bf34e893dcf,luage-kkeoa-txjpb-3od2n-6j2to-pltdi-asjyx-bgjzu-jqciw-n47b3-rae,1,292,293,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
33ee70640e1786d112b1e170e85bc4e02a1fc056c11faec6a4ba30a6d76ab9b8,ejkx5-awuog-ivr2z-gonai-o7v66-yp2kx-uymah-ydz2i-7u7qh-oty3q-kae,1,352,353,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
4d8119f4b9e5ea3431886a76b2538e47f3568c52b5cf75d4eb2f9e24e265ff5a,y45l5-6bfem-xuh46-rj5di-ezv3m-rue5p-r5feg-jvj3g-k4bbh-4amh4-3ae,1,154,155,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
